year,month,format,sst_mean,sst_std,t2m_mean,delta_T_mean,delta_T_std,n_hours
2015,07,grib,301.34246826171875,0.38370469212532043,300.2617492675781,-1.080697774887085,0.6653967499732971,744
2016,07,grib,301.3300476074219,0.35317784547805786,299.6297607421875,-1.700295090675354,0.4192592203617096,744
2017,07,grib,301.47711181640625,0.3935988247394562,299.8810119628906,-1.5960657596588135,0.5436940789222717,744
2018,07,grib,301.28363037109375,0.5196154117584229,299.7281494140625,-1.5554605722427368,0.5590406656265259,744
2019,07,grib,301.8591613769531,0.3001924753189087,300.0770263671875,-1.78214430809021,0.5418851375579834,744
2020,07,grib,302.3772277832031,0.26500204205513,300.31427001953125,-2.062974452972412,0.6512972116470337,744
2021,07,grib,302.0729675292969,0.5688650608062744,300.2854919433594,-1.7874512672424316,0.6524375677108765,744
2022,07,grib,301.3660583496094,0.363379567861557,299.6952819824219,-1.6707655191421509,0.5903754234313965,744
2023,07,grib,301.6051025390625,0.4310867488384247,299.85638427734375,-1.7487212419509888,0.4724315404891968,744
2024,07,grib,301.9276428222656,0.47609302401542664,300.3503112792969,-1.5773406028747559,0.49333497881889343,744
2025,07,grib,301.344482421875,0.28802967071533203,299.9031066894531,-1.441382646560669,0.5502369999885559,744
